	0	5	10	15	20	25	30
0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	0.00	0.66	2.48	5.32	8.11	11.68	15.78
20	0.00	1.21	4.08	8.95	13.35	20.00	20.00
30	0.00	1.62	5.29	11.87	19.49	20.00	20.00
40	0.00	1.92	6.23	14.36	20.00	20.00	20.00
50	0.00	2.13	6.71	16.27	20.00	20.00	20.00
60	0.00	2.24	6.58	18.01	20.00	20.00	20.00
70	0.00	2.28	6.09	19.82	20.00	20.00	20.00
80	0.00	2.23	5.56	17.78	20.00	20.00	20.00
90	0.00	2.11	5.24	17.54	20.00	20.00	20.00
100	0.00	1.93	4.81	18.30	20.00	20.00	20.00
110	0.00	1.70	4.30	12.94	20.00	20.00	20.00
120	0.00	1.43	3.74	8.29	20.00	20.00	20.00
130	0.00	1.12	3.15	6.31	20.00	20.00	20.00
140	0.00	0.79	2.53	4.97	17.82	20.00	20.00
150	0.00	0.48	1.91	3.76	5.85	19.95	20.00
160	0.00	0.23	1.29	2.64	4.04	5.44	20.00
170	0.00	0.06	0.65	1.54	2.41	3.20	3.83
180	0.00	0.00	0.00	0.00	0.00	0.00	0.00
