	0	5	10	15	20	25	30
0	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	0.00	0.17	0.83	2.46	5.30	8.55	12.41
20	0.00	0.32	1.40	4.57	9.20	17.48	20.00
30	0.00	0.46	1.76	7.26	12.02	20.00	20.00
40	0.00	0.57	2.04	9.64	20.00	20.00	20.00
50	0.00	0.65	2.19	10.95	20.00	20.00	20.00
60	0.00	0.69	2.11	10.56	20.00	20.00	20.00
70	0.00	0.71	1.92	7.51	20.00	20.00	20.00
80	0.00	0.69	1.76	3.94	20.00	20.00	20.00
90	0.00	0.65	1.68	3.21	20.00	20.00	20.00
100	0.00	0.58	1.57	2.88	20.00	20.00	20.00
110	0.00	0.49	1.43	2.57	20.00	20.00	20.00
120	0.00	0.40	1.26	2.26	18.98	20.00	20.00
130	0.00	0.30	1.07	1.94	3.19	20.00	20.00
140	0.00	0.21	0.85	1.63	2.48	20.00	20.00
150	0.00	0.12	0.61	1.28	1.84	2.42	20.00
160	0.00	0.06	0.39	0.90	1.35	1.70	2.19
170	0.00	0.02	0.19	0.47	0.77	1.06	1.29
180	0.00	0.00	0.00	0.00	0.00	0.00	0.00
