	0	5	10	15	20	25	30
0	3.43	3.21	2.18	1.26	0.99	0.87	0.81
10	3.43	3.21	2.19	1.26	0.99	0.86	0.80
20	3.43	3.21	2.20	1.27	0.98	0.86	0.79
30	3.43	3.22	2.21	1.29	1.00	0.87	0.78
40	3.43	3.22	2.23	1.31	1.01	0.88	0.80
50	3.43	3.24	2.35	1.45	1.13	0.99	0.87
60	3.43	3.26	2.60	1.73	1.43	1.27	1.13
70	3.43	3.29	2.88	2.17	1.86	1.63	1.54
80	3.43	3.33	3.15	2.87	2.62	2.31	2.02
90	3.43	3.36	3.26	3.13	2.97	2.78	2.58
100	3.43	3.39	3.34	3.28	3.20	3.11	3.00
110	3.43	3.42	3.41	3.39	3.36	3.34	3.31
120	3.43	3.44	3.45	3.46	3.48	3.53	3.60
130	3.43	3.46	3.48	3.54	3.67	3.85	4.08
140	3.43	3.47	3.52	3.68	3.95	4.30	4.69
150	3.43	3.47	3.58	3.85	4.25	4.72	5.23
160	3.43	3.48	3.63	3.96	4.41	4.93	5.48
170	3.43	3.48	3.64	3.95	4.39	4.90	5.44
180	3.43	3.48	3.62	3.92	4.34	4.84	5.37
