	0	5	10	15	20	25	30
0	6.54	6.42	5.52	2.75	2.66	2.17	2.35
10	6.54	6.42	5.53	2.76	2.64	2.17	2.34
20	6.54	6.42	5.52	2.78	1.04	2.17	2.29
30	6.54	6.43	5.53	2.82	1.49	2.15	2.10
40	6.54	6.43	5.63	2.86	2.32	2.07	1.64
50	6.54	6.44	5.82	3.10	2.57	2.17	0.0
60	6.54	6.45	6.05	3.98	3.15	2.69	0.0
70	6.54	6.47	6.24	5.43	4.66	3.77	0.0
80	6.54	6.48	6.38	6.20	5.99	5.87	0.0
90	6.54	6.50	6.44	6.35	6.22	6.02	0.0
100	6.54	6.52	6.48	6.43	6.35	6.18	0.0
110	6.54	6.53	6.52	6.50	6.45	6.35	0.0
120	6.54	6.55	6.55	6.54	6.52	6.45	0.0
130	6.54	6.56	6.57	6.57	6.57	6.56	5.99
140	6.54	6.57	6.58	6.60	6.64	6.71	6.80
150	6.54	6.58	6.59	6.63	6.74	6.90	7.09
160	6.54	6.58	6.60	6.68	6.82	7.01	7.26
170	6.54	6.59	6.61	6.69	6.82	7.02	7.26
180	6.54	6.59	6.61	6.68	6.81	6.99	7.23
